time,pitch,roll,yaw,trans_ap,trans_ml,trans_ud,scale
0.001,0.062831,0,0,0.00062831,0,0,1
0.002,0.12566,0,0,0.0012566,0,0,1
0.003,0.18848,0,0,0.0018848,0,0,1
0.004,0.2513,0,0,0.002513,0,0,1
0.005,0.31411,0,0,0.0031411,0,0,1
0.006,0.3769,0,0,0.003769,0,0,1
0.007,0.43968,0,0,0.0043968,0,0,1
0.008,0.50244,0,0,0.0050244,0,0,1
0.009,0.56519,0,0,0.0056519,0,0,1
0.01,0.62791,0,0,0.0062791,0,0,1
0.011,0.6906,0,0,0.006906,0,0,1
0.012,0.75327,0,0,0.0075327,0,0,1
0.013,0.81591,0,0,0.0081591,0,0,1
0.014,0.87851,0,0,0.0087851,0,0,1
0.015,0.94108,0,0,0.0094108,0,0,1
0.016,1.0036,0,0,0.010036,0,0,1
0.017,1.0661,0,0,0.010661,0,0,1
0.018,1.1286,0,0,0.011286,0,0,1
0.019,1.191,0,0,0.01191,0,0,1
0.02,1.2533,0,0,0.012533,0,0,1
0.021,1.3156,0,0,0.013156,0,0,1
0.022,1.3779,0,0,0.013779,0,0,1
0.023,1.4401,0,0,0.014401,0,0,1
0.024,1.5023,0,0,0.015023,0,0,1
0.025,1.5643,0,0,0.015643,0,0,1
0.026,1.6264,0,0,0.016264,0,0,1
0.027,1.6883,0,0,0.016883,0,0,1
0.028,1.7502,0,0,0.017502,0,0,1
0.029,1.8121,0,0,0.018121,0,0,1
0.03,1.8738,0,0,0.018738,0,0,1
0.031,1.9355,0,0,0.019355,0,0,1
0.032,1.9971,0,0,0.019971,0,0,1
0.033,2.0586,0,0,0.020586,0,0,1
0.034,2.1201,0,0,0.021201,0,0,1
0.035,2.1814,0,0,0.021814,0,0,1
0.036,2.2427,0,0,0.022427,0,0,1
0.037,2.3039,0,0,0.023039,0,0,1
0.038,2.365,0,0,0.02365,0,0,1
0.039,2.426,0,0,0.02426,0,0,1
0.04,2.4869,0,0,0.024869,0,0,1
0.041,2.5477,0,0,0.025477,0,0,1
0.042,2.6084,0,0,0.026084,0,0,1
0.043,2.669,0,0,0.02669,0,0,1
0.044,2.7295,0,0,0.027295,0,0,1
0.045,2.7899,0,0,0.027899,0,0,1
0.046,2.8502,0,0,0.028502,0,0,1
0.047,2.9104,0,0,0.029104,0,0,1
0.048,2.9704,0,0,0.029704,0,0,1
0.049,3.0304,0,0,0.030304,0,0,1
0.05,3.0902,0,0,0.030902,0,0,1
0.051,3.1499,0,0,0.031499,0,0,1
0.052,3.2094,0,0,0.032094,0,0,1
0.053,3.2689,0,0,0.032689,0,0,1
0.054,3.3282,0,0,0.033282,0,0,1
0.055,3.3874,0,0,0.033874,0,0,1
0.056,3.4464,0,0,0.034464,0,0,1
0.057,3.5053,0,0,0.035053,0,0,1
0.058,3.5641,0,0,0.035641,0,0,1
0.059,3.6228,0,0,0.036228,0,0,1
0.06,3.6812,0,0,0.036812,0,0,1
0.061,3.7396,0,0,0.037396,0,0,1
0.062,3.7978,0,0,0.037978,0,0,1
0.063,3.8558,0,0,0.038558,0,0,1
0.064,3.9137,0,0,0.039137,0,0,1
0.065,3.9715,0,0,0.039715,0,0,1
0.066,4.0291,0,0,0.040291,0,0,1
0.067,4.0865,0,0,0.040865,0,0,1
0.068,4.1438,0,0,0.041438,0,0,1
0.069,4.2009,0,0,0.042009,0,0,1
0.07,4.2578,0,0,0.042578,0,0,1
0.071,4.3146,0,0,0.043146,0,0,1
0.072,4.3712,0,0,0.043712,0,0,1
0.073,4.4276,0,0,0.044276,0,0,1
0.074,4.4838,0,0,0.044838,0,0,1
0.075,4.5399,0,0,0.045399,0,0,1
0.076,4.5958,0,0,0.045958,0,0,1
0.077,4.6515,0,0,0.046515,0,0,1
0.078,4.707,0,0,0.04707,0,0,1
0.079,4.7624,0,0,0.047624,0,0,1
0.08,4.8175,0,0,0.048175,0,0,1
0.081,4.8725,0,0,0.048725,0,0,1
0.082,4.9273,0,0,0.049273,0,0,1
0.083,4.9819,0,0,0.049819,0,0,1
0.084,5.0362,0,0,0.050362,0,0,1
0.085,5.0904,0,0,0.050904,0,0,1
0.086,5.1444,0,0,0.051444,0,0,1
0.087,5.1982,0,0,0.051982,0,0,1
0.088,5.2517,0,0,0.052517,0,0,1
0.089,5.3051,0,0,0.053051,0,0,1
0.09,5.3583,0,0,0.053583,0,0,1
0.091,5.4112,0,0,0.054112,0,0,1
0.092,5.4639,0,0,0.054639,0,0,1
0.093,5.5165,0,0,0.055165,0,0,1
0.094,5.5688,0,0,0.055688,0,0,1
0.095,5.6208,0,0,0.056208,0,0,1
0.096,5.6727,0,0,0.056727,0,0,1
0.097,5.7243,0,0,0.057243,0,0,1
0.098,5.7757,0,0,0.057757,0,0,1
0.099,5.8269,0,0,0.058269,0,0,1
0.1,5.8779,0,0,0.058779,0,0,1
0.101,5.9286,0,0,0.059286,0,0,1
0.102,5.979,0,0,0.05979,0,0,1
0.103,6.0293,0,0,0.060293,0,0,1
0.104,6.0793,0,0,0.060793,0,0,1
0.105,6.1291,0,0,0.061291,0,0,1
0.106,6.1786,0,0,0.061786,0,0,1
0.107,6.2279,0,0,0.062279,0,0,1
0.108,6.2769,0,0,0.062769,0,0,1
0.109,6.3257,0,0,0.063257,0,0,1
0.11,6.3742,0,0,0.063742,0,0,1
0.111,6.4225,0,0,0.064225,0,0,1
0.112,6.4706,0,0,0.064706,0,0,1
0.113,6.5183,0,0,0.065183,0,0,1
0.114,6.5659,0,0,0.065659,0,0,1
0.115,6.6131,0,0,0.066131,0,0,1
0.116,6.6601,0,0,0.066601,0,0,1
0.117,6.7069,0,0,0.067069,0,0,1
0.118,6.7533,0,0,0.067533,0,0,1
0.119,6.7995,0,0,0.067995,0,0,1
0.12,6.8455,0,0,0.068455,0,0,1
0.121,6.8911,0,0,0.068911,0,0,1
0.122,6.9365,0,0,0.069365,0,0,1
0.123,6.9817,0,0,0.069817,0,0,1
0.124,7.0265,0,0,0.070265,0,0,1
0.125,7.0711,0,0,0.070711,0,0,1
0.126,7.1154,0,0,0.071154,0,0,1
0.127,7.1594,0,0,0.071594,0,0,1
0.128,7.2031,0,0,0.072031,0,0,1
0.129,7.2465,0,0,0.072465,0,0,1
0.13,7.2897,0,0,0.072897,0,0,1
0.131,7.3326,0,0,0.073326,0,0,1
0.132,7.3751,0,0,0.073751,0,0,1
0.133,7.4174,0,0,0.074174,0,0,1
0.134,7.4594,0,0,0.074594,0,0,1
0.135,7.5011,0,0,0.075011,0,0,1
0.136,7.5425,0,0,0.075425,0,0,1
0.137,7.5836,0,0,0.075836,0,0,1
0.138,7.6244,0,0,0.076244,0,0,1
0.139,7.6649,0,0,0.076649,0,0,1
0.14,7.7051,0,0,0.077051,0,0,1
0.141,7.745,0,0,0.07745,0,0,1
0.142,7.7846,0,0,0.077846,0,0,1
0.143,7.8239,0,0,0.078239,0,0,1
0.144,7.8629,0,0,0.078629,0,0,1
0.145,7.9016,0,0,0.079016,0,0,1
0.146,7.9399,0,0,0.079399,0,0,1
0.147,7.9779,0,0,0.079779,0,0,1
0.148,8.0157,0,0,0.080157,0,0,1
0.149,8.0531,0,0,0.080531,0,0,1
0.15,8.0902,0,0,0.080902,0,0,1
0.151,8.1269,0,0,0.081269,0,0,1
0.152,8.1634,0,0,0.081634,0,0,1
0.153,8.1995,0,0,0.081995,0,0,1
0.154,8.2353,0,0,0.082353,0,0,1
0.155,8.2708,0,0,0.082708,0,0,1
